Game,Season,Round,Venue,Attendance,Home Team,Away Team,Latitude,Longitude
2016R2202,2016,R22,Blundstone Arena,16495,North Melbourne,Sydney,-42.8773,147.374
2016R2205,2016,R22,Marvel Stadium,17644,Collingwood,Gold Coast,-37.8166,144.9475
2016R2203,2016,R22,Melbourne Cricket Ground,35255,Richmond,St Kilda,-37.82,144.9834
2016R2204,2016,R22,GIANTS Stadium,9556,Greater Western Sydney,Fremantle,-33.8942,151.2293
2016R2209,2016,R22,Marvel Stadium,25308,Essendon,Western Bulldogs,-37.8166,144.9475
2016R2208,2016,R22,The Gabba,20477,Brisbane Lions,Geelong,-27.4858,153.0381
2016R2207,2016,R22,Melbourne Cricket Ground,40693,Carlton,Melbourne,-37.82,144.9834
2016R2301,2016,R23,Adelaide Oval,50785,Adelaide,West Coast,-34.9155,138.5961
2016R2306,2016,R23,Heritage Bank Stadium,9213,Gold Coast,Port Adelaide,-28.0063,153.3671
2016R2305,2016,R23,Marvel Stadium,22295,North Melbourne,Greater Western Sydney,-37.8166,144.9475
2016R2302,2016,R23,GMHBA Stadium,24413,Geelong,Melbourne,-38.158,144.3547
2016R2303,2016,R23,Melbourne Cricket Ground,46566,Essendon,Carlton,-37.82,144.9834
2016R2304,2016,R23,Sydney Cricket Ground,36570,Sydney,Richmond,-33.8915,151.2249
2016R2307,2016,R23,Marvel Stadium,19633,St Kilda,Brisbane Lions,-37.8166,144.9475
2016R2309,2016,R23,Domain Stadium,34765,Fremantle,Western Bulldogs,-31.94,115.825
2016R2308,2016,R23,Melbourne Cricket Ground,52968,Hawthorn,Collingwood,-37.82,144.9834
